Image URL,Building Name,Property Description,Street Number,Street Name,Street Suffix,Subdivision,Unit Number,Address,City/Location,Zip Code,Year Built,List Price,MLS Number,Building SqFt,Balcony SF,Bathroom Description,Baths Full,Baths Half,Baths Total,Bed Room Description,Bedrooms
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=184655789&TableID=9&Type=1&Size=3&exk=a6ac332d60f6fb2ffad0ab7062a1ccf4&Number=0,SAN LUIS,"THIS IS A FRACTIONAL CONDO ON THE ""A"" SCHEDULE.  ENJOY LUXURY ISLAND LIVING AT ITS BEST. SPEND TIME AT THE BEACH AND RETURN FOR A DIP IN THE HEATED POOL BEFORE RELAXING WITH A COLD DRINK IN THE COVE SWIM UP BAR.  TREAT YOURSELF TO TIME AT THE SPA OR EXERCISE AT THE FITNESS CENTER TO WORK UP AN APPETITE TO VISIT THE HIGHLY ACCLAIMED STEAKHOUSE OR HAVE CLASSIC ITALIAN COOKING AT THE GROTTO RESTAURANT.",5220,Seawall,Boulevard,San Luis Condo,1234A,5220 Seawall Boulevard Unit#1234A,Galveston,77551,1985,"$70,000",66003453,812,,,1,0,1,,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=180369882&TableID=9&Type=1&Size=3&exk=b95f9df53d3c72a90d67c03827741244&Number=0,OTHER,"Small furnished one bedroom apartment located in the town of Nafpaktos, just 30 meters from the beach. Open concept living/dining/ kitchen with separate bedroom.  Bedroom has a built in closet system and private balcony.  Living room includes a sofa bed, and also has a balcony looking onto the interior of the city of Nafpaktos. Includes all appliances, refrigerator, and washer.  Bathroom has a tub/shower combination with pedestal sink.  Building is less than 20 years old and is well-maintained.  Nafpaktos is a thriving town, steeped in Greek and Venetian history, with a Castle overlooking the town, and a castle wall that surrounds the picturesque port. It is conveniently located on the North coast of the Gulf of Corinth, looking across the bay onto mountains.  It is located about 30 miles from Patras, a port city with ferry access to the islands of the Ionian, Coast of the Peloponese, and Italy. Nafpaktia, the mountaineous region above Nafpaktos is a hikers and backpackers dream.",19,Xenitemenon Nafpaktion,,Xenitemenon,D-7,19 Xenitemenon Nafpaktion Unit#D-7,Other,30300,2002,"$70,000",62361138,600,35,,1,0,1,Primary Bed - 1st Floor,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=181462870&TableID=9&Type=1&Size=3&exk=1e9d95d9fdd655066cb245ae8bfb2b07&Number=0,SUSSEX,"BACK ON THE MARKET  with a new improved PRICE!! 2 Bedrooms and 2 full baths Condo in the Mid Hi rise Complex, recently painted , new floors A/C units. Great Amenities swimming pool, tennis court, gated building very private and is only minutes away from the Baptist University, The Galleria shopping Mall, NRG Stadium  and  Medical center.",7520,Hornwood,Drive,Sussex Condo West,2,7520 Hornwood Drive Unit#2,Houston,77036,1966,"$78,500",92829527,872,,,2,0,2,Primary Bed - 1st Floor,2
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=187466132&TableID=9&Type=1&Size=3&exk=8767d04ae93c0d9acfc0f055241aafe5&Number=0,OTHER,"Cozy, gated 1 bedroom 1 full bathroom upstairs condo located right on N. Braeswood. Fridge, microwave, and electric stove will convey with property. Easy access to 610 and ideal commuting distance from Galleria / Medical Center. It is currently rented at $800 per month until 9/30/2020. Lease agreement can be provided upon request. Low maintenance fee and all utilities including in HOA dues (electricity, water, cable, covered parking, pool, grounds, laundry, security, and insurance on the exterior! This property has so much potential for increased rent.",5550,Braeswood,Boulevard,N Braeswood Condo,103,5550 N Braeswood Boulevard Unit#103,Houston,77096,1972,"$80,000",90160683,740,,,1,0,1,"All Bedrooms Up, Primary Bed - 2nd Floor",1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=182589854&TableID=9&Type=1&Size=3&exk=3bb23548c49190f338e502336c29a5e0&Number=0,THE SUSSEX,"Wonderful 2/2 High Rise Condo at great location, Furnished, Gated entry, Well maintained with lots of updates: New AC, New Refrigerator, New Paint, New Laminate Floor, etc.  Spectacular views of Houston from centrally located High Rise, providing great value. Gated entry with well maintained, enclosed tennis court, area pool and lush landscaping. Beat Houston traffic to go to the Galleria, Medical Center, NRG Stadium, Houston Baptist University, UH, Midtown, etc.  Monthly maintenance fee includes cable tv, water, sewer, trash pick-up, and common area care. Breakfast area and family room is very open and wonderful for entertaining.  Hurry and schedule a tour before this one is gone...",7520,Hornwood Drive,Drive,Sussex Condo West,1401,7520 Hornwood Drive Drive Unit#1401,Houston,77036,1966,"$85,000",82060411,873,,,2,0,2,,2
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=186745706&TableID=9&Type=1&Size=3&exk=341558077195adeaa4d2ee7fe73c6b0e&Number=0,THE SUSSEX,"Recently repainted , laminated floors Kitchen with granite counter tops , wood cabinets ,stainless steel refrigerator, opens to the spacious living room , Summer is here and you can enjoy it by the swimming pool, or play tennis Yes it has a tennis court, this  gated condominium is in a great location close to baptist university, medical center , just minutes away to the Galleria, NRG Stadium and the monthly fee includes cable, water ,trash pick up and common areas, rooms dimensions are estimated please verify",7520,Hornwood Dr,Drive,Sussex Condo West,2,7520 Hornwood Dr Drive Unit#2,Houston,77036,1966,"$89,990",13878273,658,,,1,0,1,1 Bedroom Up,1
#N/A,2016 MAIN,"Smack in the middle of MIDTOWN, avoid the daily commute and enjoy everything MIDTOWN has to offer!This is the last place you can PURCHASE a condo in the area!The building offers huge pool, putting green, fitness area, walking distance to museums and parks!The unit has updated kitchen and bath with granite, recent fixtures, pass through kitched breakfast bar, a beautiful private balcony with amazing skyline view! One of the few units with washer and dryer available!Security,private parking spot in covered garage included! Don't miss this, these units never come up for sale! (If you are an Investor, the current Tenant may stay if you like.)NO SHOWINGS UNTIL AFTER JUNE 15TH",2016,Main,Street,Main Condo 03 Amd,1008,2016 Main Street Unit#1008,Houston,77002,1965,"$114,900",46542502,436,,Primary w/Tub,1,0,1,,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=186748655&TableID=9&Type=1&Size=3&exk=1f579fe9a8b6d881fe3a25a377e56dbd&Number=0,THE SUSSEX,"Welcome to your new home, 2 bedrooms one full bath unit comes with washer & dryer , kitchen with granite counter tops ,Fridge , black appliances , kitchen opens to living room ,new laminated floors, recently painted, Conveniently located easy access to highways , shopping centers,medical center, Baptist University and restaurants.Schedule your showing today . Rooms dimensions are estimated please verify",7520,Hornwood,Drive,Sussex Condo West,4,7520 Hornwood Drive Unit#4,Houston,77036,1966,"$125,000",63056190,1009,,,1,0,1,2 Bedrooms Down,2
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=185916994&TableID=9&Type=1&Size=3&exk=5a17ebbfc0c2271600553102319d3d7d&Number=0,THE SUSSEX,"Beautiful 12th floor Hi-Rise condo near Sharpstown area. Awesome Galleria night view.  Open concept large family room with dining room.  2 bedrooms and 2 full bathrooms. Very clean and good maintenance.  Two years old water heater. Laminated wood flooring at both bedrooms. 18” tile flooring at family room. Granite counter-top in Master bathroom. Both tub showers with glass sliding doors.  Community secured with gates. Pool, tennis courts. Trash service, cable TV. Minutes to Hwy 59, Loop 610 and more.",7520,Hornwood,Drive,Sussex Condo West,1205,7520 Hornwood Drive Unit#1205,Houston,77036,1966,"$125,000",73402013,1109,,Tub w/shower,2,0,2,Split Plan,2
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=186719633&TableID=9&Type=1&Size=3&exk=c4c3f24a1cfd522db581086a7e81f3e1&Number=0,OTHER,"A 2-tower APARTMENT development. The design of the 2 towers of exclusive departments is inspired by the perfection of the freedom that is lived in the Riviera Maya, the 46 departments that each tower has are studio type and with 1 or 2 bedrooms; in them you will find amenities designed to relax and rest under the sun of the Mexican Caribbean.",0,Calle 34 NTE,,other,302,0 Calle 34 NTE Unit#302,Playa Del Carmen,77710,2021,"$127,000",9256947,402,57,Primary Bath Shower Only,1,0,1,,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=184356758&TableID=9&Type=1&Size=3&exk=d6ce4821fb9521dfc694f32ec6ee22a8&Number=0,2016 MAIN,"Hip urban 1x1 in the heart of downtown. Full balcony with a view of the skyline from the 17th floor. Floor to ceiling 18' glass windows/doors in living room and bedroom. Located ON the light rail. Walking distance to: bayou running & cycling trails, midtown and downtown parks & dog parks, eateries, theaters, shopping, hotels, and grocery stores. Easy access to 7 miles of the tunnel system (restaurants, shopping, salons, coffee, shops) Close to: Museums, TX Medical Center, UofH (Central and DT), TSU, Rice, St. Thomas, and S. TX. Law, Minute Maid Park, George R Brown and Dynamo Stadium. HOA FEE INCLUDES: electricity, internet, cable, water, trash. COMMUNITY: gym, pool, hot tub, lounge area, grills, party room, vending area/ATM, package room, laundry room. 1 assigned parking space -1 storage locker. City living at it's finest!",2016,Main,Street,Main Condo 03 Amd,1713,2016 Main Street Unit#1713,Houston,77002,1965,"$130,000",41433071,809,,,1,0,1,,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=187133471&TableID=9&Type=1&Size=3&exk=7672033f7c3e6bcfece362d52851b320&Number=0,1400 HERMANN,"Highrise gem in the heart of the Museum District! Classic unit with view of downtown Houston’s skyline PLUS walking distance to parks & gardens, museums & universities. Directly across the street from McGovern Centennial Gardens, a botanical showcase in Hermann Park, & within 3 blocks of the Museum of Fine Arts, Museum of Natural Science, Health Museum, Children’s Museum; a dream area for arts and culture lovers!    Great convenient location for medical center employees, university personnel and downtown workers; the Metro rail is 2 blocks away.  Plus all utilities, cable and internet are included! This full-service building provides valet & 24 hour concierge service, garage parking, controlled access, storage units.  Amenities include resident social gathering space, pool, tennis courts and lovely landscaped garden area; enjoy a swim and cookout or picnic without leaving the property. Parquet floors throughout the unit. If you prefer a more modern decor, consider a unit renovation.",1400,Hermann,Drive,Hermann Condo Amd,6C,1400 Hermann Drive Unit#6C,Houston,77004,1957,"$135,000",56477350,932,,Tub w/shower,1,0,1,,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=175188884&TableID=9&Type=1&Size=3&exk=230477c97bb9732353580498688b843d&Number=0,OTHER,"Come and enjoy the perfect balance between luxury and nature. BRIARA is a new complex in the Riviera Maya, offering many options of luxuries apartments starting with this amazing 645 SqFt apartment fully furnished. BRIARA is a space for interaction: environment, vegetation, location and inhabitants. Open your consciousness, reinvent your senses, disconnect from the mundane. Admire, care for and enjoy what the planet offers. Hold the helm of your destiny, hoist the sails and start the journey of your life. The compass points out north, but your spirit shows the way. BRIARA will be your resting place in the pursuit of new horizons.",307,Cancun/Tulum/Mexico,,TAEMA Luxury Complex,1123,307 Cancun/Tulum/Mexico Unit#1123,Tulum Quintana Roo,77733,2019,"$135,160",63705500,645,,,1,0,1,,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=186710172&TableID=9&Type=1&Size=3&exk=cc4ce2c1e975989d4b87bb609e86edfd&Number=0,1400 HERMANN,"Pool and sunrise view! Pristinely original condition. Priced at HCAD value. 2 parking spaces, on site storage. Unparalleled location. Imagine living on Hermann Drive—Houston’s version of New York City's Central Park West—and watching Hermann Park's 4th of July fireworks from your front lawn. Or walking to Houston's landmark art, science, and history museums. Or strolling to nearby restaurants for lunch. Or sauntering along Rice University's jogging trail to Rice Village. Or riding Houston MetroRail from a station only a block away. Imagine life in Houston's Museum District. The historic 1400 Hermann Drive Condominiums is a uniquely designed and uniquely located condominium tower. Previous residents have included actress Mia Farrow, conductor André Previn, and former Houston Mayor Kathy Whitmire. Valet parking, 24hr concierge, staff of 17, secure living, sparkling heated pool and tennis court. Opportunity to own in 1400 Hermann that is rarely seen.",1400,Hermann,Drive,Hermann Condo Amd,3F,1400 Hermann Drive Unit#3F,Houston,77004,1957,"$136,351",74299315,1057,,Tub w/shower,1,0,1,En-Suite Bath,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=185463492&TableID=9&Type=1&Size=3&exk=f6ba34b02ca53c6ada8e8679f140f60a&Number=0,OTHER,"Studio apartment, with spaces created to enjoy & obtain profits through vacation rentals. Privileged for its excellent location one block away from 5th Avenue & very close to the iconic Mamitas Beach Club, this development has what it takes to be the ideal investment. Equipped with everything you need to have a comfortable stay. You'll just have to worry of adding your personal touch.",0,Calle 30 Norte,,other,104,0 Calle 30 Norte Unit#104,Playa Del Carmen,77710,,"$138,000",85467613,482,,,1,0,1,,0
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=177039353&TableID=9&Type=1&Size=3&exk=f14d037d0e398bffdb8c9d5357175dec&Number=0,THE SUSSEX,"What a great view from 12 floor!!!  Luxury resort style living at an affordable price. The unite is loaded with upgrades, wooded floor at living, bedroom, tiles in the bathroom, granite counter tops. Beautiful paint and floors through out the unit. Excellent location near freeway I-59 Fwy. Gated community, on site manager, pool, party room, and tennis court. Don't miss it!",7520,Hornwood,Drive,Sussex Condo West,1204,7520 Hornwood Drive Unit#1204,Houston,77036,1966,"$139,000",59956645,1179,,Primary w/Tub,2,0,2,Primary Bed - 1st Floor,2
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=172489263&TableID=9&Type=1&Size=3&exk=711ac77cb1fec6f7b246dd05810cf077&Number=0,3525 SAGE CONDOMINIUMS,"Well maintained building has GM, pool, parky room...EZ access to HWY. Walking distance to Galleria.  Unite is located on 9th floor, it has nice view. Granite counter top in kitchen and bathroom. Laminated wood floor in living and bedroom. Updated electrical panel. Bathroom needs to be updated.",3525,Sage,Road,3525 Sage Street Condo,908,3525 Sage Road Unit#908,Houston,77056,1985,"$148,000",91150309,794,,,1,0,1,Primary Bed - 1st Floor,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=186533724&TableID=9&Type=1&Size=3&exk=990aaf66bb5aad08803650306e4f5b00&Number=0,3525 SAGE CONDOMINIUMS,"On 6th floor, 1bedroom/1bathroom unit with Many Upgrades! New laminated wood like floor/ new updated bathroom, stainless appliances, split plan w/bedrooms , Unit comes with 1 assigned parking space, additional open parking on 5th floor. Washer/dryer & refrigerator included!! Building has 24hr concierge, pool, fitness center and a business center! Galleria living centrally located with easy access to 610 loop and 59 Freeway. The room is not close to Building utility.",3525,Sage,Road,AUGUSTA HILLS CONDO,605,3525 Sage Road Unit#605,Houston,77056,1985,"$149,000",45310195,794,,,1,0,1,,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=185462985&TableID=9&Type=1&Size=3&exk=26300816d6aa9e34787c9f45d202ad35&Number=0,OTHER,"Our different apartments are built with the best finishes, and structured to offer an excellent return of investment. The space distribution and rentability makes them ideal for any habitational purpose. Choose the best space for you, from the private and peaceful one bedroom apartment, to the luxurious penthouse. Bahay is located in a privileged area in Playa del Carmen, only a few steps away from the crystal clear waters of the Caribbean Sea and the vibrant Fifth Avenue.  Allow Bahay to become your own personal paradise on Earth, without losing all the comfort and practicality of the best and most exclusive restaurants, bars, retail stores, and clubs in the city.",0,Calle 42 Norte,,other,207,0 Calle 42 Norte Unit#207,Playa Del Carmen,77710,,"$149,000",85821506,635,,,1,0,1,,0
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=185225557&TableID=9&Type=1&Size=3&exk=5994bee464312da5a9da3b0a85e2e6c0&Number=0,3525 SAGE CONDOMINIUMS,"No showing investment property only. Leased until November 2018. This is true city living! Enjoy 24-hour concierge service, fitness center, resort style pool with Jacuzzi and a BBQ area, a club room that can be rented for parties and free Wi-Fi in the common areas. This 2nd-floor unit has an incredible view of the pool from the relaxing balcony. Unique to the second floor is a welcoming balcony when you exit from the elevators. Jump on this incredible opportunity! It",3525,Sage,Road,Sage Street Condo,201,3525 Sage Road Unit#201,Houston,77056,1985,"$149,000",67476220,776,,,1,0,1,,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=186134805&TableID=9&Type=1&Size=3&exk=a2d4fcf04fab2d00f99a905d3f2387b9&Number=0,7575 KIRBY,Charming 1 bedroom condo centrally located to the Medical Center & West University! This gorgeous condo is the perfect place! Enjoy the private balcony when you need some fresh air. The master bedroom is incredibly spacious and has its own built in desk along with a spacious walk in closet. The large bathroom includes an oversized tub that also serves as a shower. Beautiful kitchen has granite counters and breakfast bar with a built in wine rack above the refrigerator. Tons of potential in this condo!,7575,Kirby,Drive,7575 Kirby,3304,7575 Kirby Drive Unit#3304,Houston,77030,2003,"$149,500",28727413,783,,Tub w/shower,1,0,1,,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=182789730&TableID=9&Type=1&Size=3&exk=77af3c77707029c9edd9010772a0d509&Number=0,3525 SAGE CONDOMINIUMS,"Located a stones throw from the Galleria, this beautifully updated one bedroom, one bath unit with private balcony is located on the 9th floor and features beautiful northwest views. Wood floors in living area, kitchen with granite countertops, decorative backsplash tile, stainless appliances and tile floors. The community offers a resort-style pool, recently renovated fitness center, 24 hour concierge, controlled access entry, covered and reserved parking with additional guest parking, club house and business center. Water, sewer, trash, recreational facilities, building and grounds maintenance all included.",3525,Sage,Road,Sage Street Condo,912,3525 Sage Road Unit#912,Houston,77056,1985,"$149,900",24725439,707,,Tub w/shower,1,0,1,,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=184994034&TableID=9&Type=1&Size=3&exk=bc041b8aa024244ffa12c922d6861f27&Number=0,2016 MAIN,"Luxury 1x1 with two balconies facing the medical center (22nd floor). Kitchen island, stainless appliances, custom cabinets, built in desk area, all in one WD, tiled floor, and renovated bathroom. HOA FEE INCLUDES: electricity, internet, cable, water, trash. COMMUNITY: gym, pool, hot tub, lounge area, grills, party room, vending area/ATM, package room, laundry room. 1 assigned parking space -1 storage locker. Located ON the light rail.  Easy access to the 7 mile underground tunnel system (restaurants, shopping, salons, coffee shops, ect). Walking distance to: bayou running & cycling trails, midtown and downtown parks & dog parks, eateries, theaters, shopping, hotels, and grocery stores. Close to: Museums, TX Medical Center, UofH (Central and DT), TSU, Rice, St. Thomas, and S. TX. Law, Minute Maid Park, George R Brown and Dynamo Stadium.",2016,Main,Street,Main Condo 03 Amd,2214,2016 Main Street Unit#2214,Houston,77002,1965,"$149,950",62247198,697,,,1,0,1,1 Bedroom Down - Not Primary BR,1
