CrossMarket,AffiliateName,StreetAddress,Locality,Region,PostalCode,Country,Continent,AffiliateURL,Principal,ReferralContactPhone,ReferralContactEmail,LogoUrl,HeaderImage,MarketArea
,Strutt & Parker,13 Hill Street­,Mayfair­,"LV,­",W1J 5LQ,England,Europe,http://www.struttandparker.com/,Strutt & Parker,+44 (0)20 7225 3866,Philippa.Stewart@struttandparker.com,,,"London, London And Vicinity Ascot, South East England Windlesham, South East England Sunningdale, South East England Banchory, Cities In Scotland Edinburgh, Cities In Scotland Inverness, Cities In Scotland"
,Estela Exclusive Homes,Paseo Juan Carlos I nº 23­,Ibiza­,"IB,­",7800,Spain,Europe,http://www.estelaexclusivehomes.com,Estela Exclusive Homes,+34 971 931 562,ee@estelaexclusivehomes.com,,,"Ibiza, Ibiza Sant Joan, Ibiza Santa Eularia, Ibiza Sant Josep, Ibiza Sant Antoni, Ibiza Sa Canal, Ibiza San Carlos, Ibiza San Miguel, Ibiza Sant Joan De Labritja, Ibiza Sant Jordi, Ibiza Santa Gertrudis, Ibiza San Lorenzo, Ibiza Ibiza City, Ibiza Vista Alegre, Ibiza Cala Conta, Ibiza San Jose, Ibiza San Antonio, Ibiza San Juan, Ibiza Santa Eulalia, Ibiza Cap De Barbaria, Formentera La Mola, Formentera El Pilar De La Mola, Formentera Es Poblet Des Torrent, Formentera Formentera, Formentera Platja De Migjorn, Formentera San Francesc, Formentera San Francisco, Formentera San Francisco Javier, Formentera"
,Costa Del Sol 365,"Calle de Ramón Gómez de la Serna, 23­",Marbella­,"MG,­",29602,Spain,Europe,https://www.costadelsol365.es,Costa Del Sol 365,+34 951 122 313‬,h.veenhuijsen@costadelsol365.es,,,
,Michaël Zingraf Real Estate,34 La Croisette­,Cannes­,"AL,­",6400,France,Europe,http://www.michaelzingraf.com/en/,Michaël Zingraf Real Estate,+33 (0)4 93 39 77 77,marine@michaelzingraf.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238968/content_unnamed.png,,"Cannes, Alpes-Maritimes Saint Jean Cap Ferrat, Alpes-Maritimes Mougins, Alpes-Maritimes Saint Paul de Vence, Alpes-Maritimes Opio, Alpes-Maritimes Cap D'Antibes, Provence-Alpes-Cote D'Azur Gordes, Provence-Alpes-Cote D'Azur Lourmarin, Provence-Alpes-Cote D'Azur Aix en Provence, Bouches Du Rhone Saint Remy, Saone et Loire Saint Tropez, Var"
,Corse Prestige Immobilier,5 rue Marechal Ornano­,Ajaccio­,"CO,­",20000,France,Europe,https://corseprestige.com,Corse Prestige Immobilier,+33 (0)4 95 25 90 41,infos@corseprestige.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238989/Logo_Corse_Prestige_Immobilier-_Horizontal_fomat.png,,"Corsica,"
,Maxwell-Baynes Real Estate,Bordeaux Office: Le Presbytere­,Bordeaux­,"GI,­",33350,France,Europe,https://www.maxwellbaynes.com,Maxwell-Baynes Real Estate,+33 557 84 08 82,info@maxwellbaynes.com,,,
,Agence Clerc,31 chemin de Montpellaz­,Annecy­,"HS,­",74290,France,Europe,http://www.alps-property.co.uk/,Agence Clerc,+33 (0)4 50 64 88 88,jc@agence-clerc.com,,,"Contamine Sur Arve, Haute Savoie Andilly, Haute Savoie Annecy, Haute Savoie Argonay, Haute Savoie Annecy le Vieux, Haute Savoie Annemasse, Haute Savoie Bogeve, Haute Savoie Bonne, Haute Savoie Bossey, Haute Savoie Bluffy, Haute Savoie Boege, Haute Savoie Bonneville, Haute Savoie Cercier, Haute Savoie Charvonnex, Haute Savoie Cordon, Haute Savoie Cernex, Haute Savoie Chamonix Mont Blanc, Haute Savoie Chatel, Haute Savoie Chavanod, Haute Savoie Cluses, Haute Savoie Cruseilles, Haute Savoie Choisy, Haute Savoie Collonges sous Saleve, Haute Savoie Cran Gevrier, Haute Savoie Cusy, Haute Savoie Chainaz les Frasses, Haute Savoie Chapeiry, Haute Savoie Combloux, Haute Savoie Copponex, Haute Savoie Cranves Sales, Haute Savoie Cuvat, Haute Savoie Droisy, Haute Savoie Doussard, Haute Savoie Duingt, Haute Savoie Dingy Saint Clair, Haute Savoie Evian les Bains, Haute Savoie Entremont, Haute Savoie Evires, Haute Savoie Etercy, Haute Savoie Epagny, Haute Savoie Etrembieres, Haute Savoie Fillinges, Haute Savoie Feigeres, Haute Savoie Franclens, Haute Savoie Frangy, Haute Savoie Gaillard, Haute Savoie Giez, Haute Savoie Groisy, Haute Savoie Gruffy, Haute Savoie Hery sur Alby, Haute Savoie Juvigny, Haute Savoie La Balme de Sillingy, Haute Savoie La Chapelle Rambaud, Haute Savoie La Forclaz, Haute Savoie La Chapelle Saint Maurice, Haute Savoie La Muraz, Haute Savoie La Clusaz, Haute Savoie La Riviere Enverse, Haute Savoie Le Grand Bornand, Haute Savoie Les Clefs, Haute Savoie Les Ollieres, Haute Savoie La Cote d Arbroz, Haute Savoie Lathuile, Haute Savoie Le Petit Bornand les Glieres, Haute Savoie Les Villards sur Thones, Haute Savoie Lovagny, Haute Savoie Marcellaz Albanais, Haute Savoie Menthonnex sous Clermont, Haute Savoie Menthonnex en Bornes, Haute Savoie Serraval, Haute Savoie Seyssel, Haute Savoie Saint Martin Bellevue, Haute Savoie Saint Jorioz, Haute Savoie Sevrier, Haute Savoie Saint Pierre en Faucigny, Haute Savoie Sales, Haute Savoie Sillingy, Haute Savoie Talloires, Haute Savoie Thorens Glieres, Haute Savoie Thusy, Haute Savoie Thones, Haute Savoie Vallieres, Haute Savoie Vetraz Monthoux, Haute Savoie Ville en Sallaz, Haute Savoie Veyrier du Lac, Haute Savoie Villy le Bouveret, Haute Savoie Viuz en Sallaz, Haute Savoie Valleiry, Haute Savoie Vaulx, Haute Savoie Villaz, Haute Savoie Villy le Pelloux, Haute Savoie Ayse, Haute Savoie Esery, Haute Savoie Eteaux, Haute Savoie Vieugy, Haute Savoie Belley, Ain Culoz, Ain Seyssel, Ain Aix les Bains, Savoie Betton Bettonet, Savoie Brison Saint Innocent, Savoie Chindrieux, Savoie Coise Saint Jean Pied Gauthier, Savoie Cruet, Savoie Conjux, Savoie Epersy, Savoie Gresy sur Aix, Savoie Lepin le Lac, Savoie Pugny Chatenod, Savoie Saint Alban de Montbel, Savoie Serrieres en Chautagne, Savoie Saint Jean de Chevelu, Savoie Tresserve, Savoie Aiguebelette, Savoie Vivers Du Lac, Savoie Gillonnay, Isere"
,Poncet & Poncet,72 Grand Rue Jean Moulin­,Montpellier­,"HR,­",34000,France,Europe,,Poncet & Poncet,+33 (0)4 67 02 03 31,contact@poncet-poncet.com,,,
,DAVID BILDER REAL ESTATE,3 Avenue du Marché­,La Baule Escoublac­,"LQ,­",44500,France,Europe,http://www.davidbilder.com,DAVID BILDER REAL ESTATE,+33 2 40 66 12 56,david.bilder@labauleetvous.com,,,"La Baule Escoublac, Loire Atlantique"
,Daniel Féau Conseil Immobilier,21 rue d'Artois­,Paris­,"PA,­",75008,France,Europe,https://danielfeau.com/en/,Daniel Féau Conseil Immobilier,+33 1 56 88 48 48,mhl@bdfrance.fr,,,"Paris, Paris"
,Côte Ouest,31 boulevard Thiers­,Saint Jean de Luz­,"PY,­",64500,France,Europe,http://www.coteouest-immobilier.com,Côte Ouest,+33 (0)5.59.26.82.60,ndescamps@coteouest-immobilier.fr,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238940/content_unnamed.jpg,,
,Ploumis Sotiropoulos Real Estate,6 Panepistimiou St­,Athens­,"AT,­",10671,Greece,Europe,http://www.ploumis-sotiropoulos.gr,Ploumis Sotiropoulos Real Estate,+30 210 364 3112,ps@ploumis-sotiropoulos.gr,,,"Athens, Attiki"
,Landscope,"Unit 1803, 18/F.,­",North Point­,"HK,­",,Hong Kong,Asia,http://www.landscope.com,Landscope,+852 3012 4888,ks.koh@landscope-christies.com,,,"Wan Chai, Hong Kong Causeway Bay, Hong Kong"
,Sherry FitzGerald,176 Pembroke Road­,Dublin­,"DU,­",,Ireland,Europe,http://www.sherryfitz.ie,Sherry FitzGerald,+35 31 237 6300,michael.grehan@sherryfitz.ie,,,"Ballsbridge, Dublin"
,Agenzia Romolini Immobiliare Srl,VIA TRIESTE N.10-C­,Anghiari­,"AR,­",52031,Italy,Europe,http://christiesrealestate.com,Agenzia Romolini Immobiliare Srl,+39 057 578 8948,info@romolini.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238943/content_Romoini-Immobilare-Christies-Luxury-Real-Estate-Tuscany-Italy.jpg,,"Anghiari, Arezzo"
,Immobilsarda SRL,"Piazzetta degli Archi, 2­",Porto Cervo­,"OT,­",7021,Italy,Europe,http://www.immobilsarda.com,Immobilsarda SRL,+39 0789 909000,juliabracco@immobilsarda.com,,,"Porto Cervo, Olbia Tempio"
,La Commerciale SRL,Lungotevere dei Mellini n° 44­,Rome­,"RM,­",193,Italy,Europe,,La Commerciale SRL,+39 06 320 0613,lacommerciale@lacommerciale.org,,,"Rome, Rome"
,"Japan Capital Realty, Inc.",Level 27 Shiroyama Trust Tower­,Minato-Ku­,"TO,­",105-6027,Japan,Asia,http://www.jcrealty.jp,"Japan Capital Realty, Inc.",+81 3 5404 8570,info@jcrealty.jp,,,"Minato-Ku, Tokyo"
,Kensington Luxury Properties,Avenue Yacoub El Mansour­,Marrakech­,"MH,­",,Morocco,Africa,http://www.kensingtonmorocco.com/en/,Kensington Luxury Properties,+212 254 42 2229,alexpeto@me.com,,,"Marrakech, Marrakech"
,Hammer Draff Great Properties,Le Park Palace­,Monte Carlo­,"MO,­",98000,Monaco,Europe,http://www.hammerdraff.com,Hammer Draff Great Properties,+377 97 97 63 33,direction@hammerdraff.com,,,"Monte Carlo, Monte Carlo"
,Dutch Docklands Maldives,"Champa Center Point, 4th Floor, Chandhanee Magu­",Male­,"MV,­",,Maldives,Asia,http://www.dutchdocklands-maldives.com,Dutch Docklands Maldives,+960 333 6664,jaspermulder@dutchdocklands.com,,,"Male, Cities In Maldives"
,2Seas Los Cabos,"Koral Shop Local 17 & 23 Carretera Transpeninsular Km 24.5, Cerro Colorado­",San Jose Del Cabo­,"BC,­",23537,Mexico,North & Central America,http://www.2seasloscabos.com,2Seas Los Cabos,+52 624 105 2547,ramiro@2seasloscabos.com,,,"San Jose Del Cabo, Baja California Sur Todos Santos, Baja California Sur Cabo San Lucas, Baja California Sur La Paz, Baja California Sur"
,CDR San Miguel,"Aldama 56, Centro­",San Miguel De Allende­,"GU,­",37700,Mexico,North & Central America,http://www.cdrsanmiguel.com,CDR San Miguel,+52 415 154 8804,anndolan@cdrsanmiguel.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238948/content_vertical-stack.jpg,,"San Miguel De Allende, Guanajuato"
,Gerencia RED Grupo Inmobiliario,Av. Manuel Gomez Morin­,Garza Garcia­,"NL,­",66254,Mexico,North & Central America,http://www.gerenciared.com,Gerencia RED Grupo Inmobiliario,+52 52 81 8363 1212,gmgutierrez@gerenciared.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238957/content_logonuevoGRIS.png,,"Monterrey, Other Areas In Mexico Garza Garcia, Nuevo Leon Monterrey, Nuevo Leon"
,Residence 365 B.V.,Herengracht 450-454­,Amsterdam­,"NH,­",1017 CA,Netherlands,Europe,http://www.r365.nl,Residence 365 B.V.,+31 20 2610 430,h.veenhuijsen@residence365.nl,,,"Amsterdam, North Holland Aerdenhout, North Holland Rotterdam, South Holland Apeldoorn, Gelderland Groningen, Groningen Enschede, Overijssel"
,Trillion Realty Group Inc,P.O. Box 16321­,San Juan­,"OP,­",,Puerto Rico,North & Central America,http://www.trillionrealtygroup.com,Trillion Realty Group Inc,+1 787 756 6464,ani@trillionrealtygroup.com,,,"San Juan, Cities In Puerto Rico"
,"Porta da Frente, Lda",Cascais - Avenida Marginal 8648 B 2750-427 Cascais­,Lisbon­,"LI,­",2765-249,Portugal,Europe,https://www.portadafrente.com,"Porta da Frente, Lda",+35 1 214 8268 30,info@portadafrente.pt,,,"Lisbon, Lisboa"
,LUXIMO'S Luxury Real Estate - Porto & North of Portugal Office,Avenida Brasil nr 227­,Porto­,"PR,­",4150-152,Portugal,Europe,http://www.luximos.pt,LUXIMO'S Luxury Real Estate - Porto & North of Portugal Office,+351 224 057 008,info@luximos.pt,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238987/unnamed.png,,"Marco De Canaveses, Porto Porto, Porto Caminha, Viana Do Castelo Viana Do Castelo, Viana Do Castelo"
,Residence Fastighetsmäkleri,Sturegatan 24­,Stockholm­,"ST,­",,Sweden,Europe,http://www.residence.se,Residence Fastighetsmäkleri,+46 8 662 68 00,annika@residence.se,,,"Stockholm, Stockholm"
,Regency Realty LTD,One Season Plaza­,Grace Bay­,"PR,­",TKCA 1ZZ,Turks And Caicos Islands,North & Central America,http://www.theturksandcaicos.com,Regency Realty LTD,+1 649 432 7653,robert@tcibrokers.com,,,"Grace Bay, Providenciales"
,Richmont's Luxury Real Estate,"Suite 607, 6th Floor, AIA Sathorn Tower­",Bangkok­,"BK,­",10120,Thailand,Asia,,Richmont's Luxury Real Estate,+66 (0)2 670 8288,tim@richmonts.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/239116/Richmont_s___Christie_s_Logo.jpg,,"Sathon, Bangkok"
,Jubon Assets Management,"4f, No. 563, Section 4­",Taipei City­,"TW,­",11072,Taiwan,Asia,http://www.realty.com.tw,Jubon Assets Management,+886 2 3765 5678,michael@realty.com.tw,,,"Xinyi, Taipei"
,Walt Danley Realty,6720 North Scottsdale Road #140­,Paradise Valley­,"AZ,­",85253,United States,North & Central America,http://www.waltdanley.com,Walt Danley Realty,+1 480 991 2050,dub@waltdanley.com,,,"Fountain Hills, Arizona Paradise Valley, Arizona Phoenix, Arizona Scottsdale, Arizona Sedona, Arizona"
,Dilbeck Estates,1030 Foothill Boulevard­,La Canada Flintridge­,"CA,­",91011,United States,North & Central America,http://dilbeckestates.com,Dilbeck Estates,+1 818 790 6774,marlene.coakes@dilbeck.com,,,"Arcadia, California Burbank, California Calabasas, California Encino, California Glendale, California Glendora, California La Canada Flintridge, California La Crescenta, California Pasadena, California San Marino, California Santa Clarita, California Sherman Oaks, California South Pasadena, California Studio City, California Valencia, California Westlake Village, California La Canada, California"
,First Team Real Estate,108 Pacifica­,Irvine­,"CA,­",92618,United States,North & Central America,http://www.firstteam.com,First Team Real Estate,949-988-3000,sandychang@firstteam.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238952/content_FT-CIRE_CLR.png,,"Aliso Viejo, California Brea, California Dana Point, California Fullerton, California Huntington Beach, California Irvine, California Ladera Ranch, California Laguna Beach, California Laguna Niguel, California Long Beach, California Mission Viejo, California Newport Beach, California Newport Coast, California Orange, California Rancho Santa Margarita, California San Clemente, California Seal Beach, California Sunset Beach, California Tustin, California Villa Park, California Yorba Linda, California Anaheim Hills, California Coto De Caza, California Monarch Beach, California Belmont Shore, California Naples, California"
,HK Lane Real Estate,"74-199 El Paseo, Suite 101A­",Palm Desert­,"CA,­",92260,United States,North & Central America,http://www.hklane.com/,HK Lane Real Estate,+1 760 834 7510,hkatofsky@hklane.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238961/content_RED_-_HK_Lane_logo_ONLY.png,,"Cathedral City, California Desert Hot Springs, California Indian Wells, California Indio, California La Quinta, California Palm Desert, California Palm Springs, California Rancho Mirage, California"
,Richardson Properties,735 Tank Farm Road Suite 130­,San Luis Obispo­,"CA,­",93401,United States,North & Central America,http://www.richardsonproperties.com,Richardson Properties,+1 805 781 6040,chris@richardsonproperties.com,,,"Arroyo Grande, California Atascadero, California Avila Beach, California Cambria, California Cayucos, California Paso Robles, California Pismo Beach, California San Luis Obispo, California Templeton, California Shell Beach, California"
,Strand Hill Properties,550 Silver Spur Road­,Rancho Palos Verdes­,"CA,­",90275,United States,North & Central America,http://strandhill.com/,Strand Hill Properties,3105416566,chris@strandhillproperties.com,,,"Manhattan Beach, California Rancho Palos Verdes, California"
